Amplitude_Deg,Frequency_Hz,Start_Amp_Mult,Start_Freq_Mult,Fell,Distance_Traversed,CoT,Passed,Avg_Velocity
31.923076923076923,0.5866666666666667,0.8,1.4,False,1.1761,0.4236,False,0.058804999999999996
31.923076923076923,0.5923076923076923,1.2444444444444445,1.0888888888888888,False,0.9896,0.5012,False,0.04948
31.923076923076923,0.597948717948718,1.1333333333333333,0.7777777777777777,False,0.8701,0.5323,False,0.043505
31.923076923076923,0.6035897435897436,1.0222222222222221,1.4,False,1.8862,0.3263,False,0.09431
31.923076923076923,0.6092307692307692,1.8,1.2444444444444445,False,1.745,0.2898,False,0.08725000000000001
31.923076923076923,0.6148717948717949,1.6888888888888889,1.1666666666666665,False,1.4609,0.5474,False,0.073045
31.923076923076923,0.6205128205128205,1.3555555555555556,1.4,False,1.9301,0.5318,False,0.096505
31.923076923076923,0.6261538461538462,1.3555555555555556,1.011111111111111,False,0.8351,0.5538,False,0.041755
31.923076923076923,0.6317948717948718,1.0222222222222221,1.4,False,1.0371,0.4651,False,0.051855
31.923076923076923,0.6374358974358975,1.2444444444444445,0.8555555555555555,False,0.7936,0.4296,False,0.03968
31.923076923076923,0.6430769230769231,1.8,1.011111111111111,False,0.776,0.6191,False,0.0388
31.923076923076923,0.6487179487179487,0.8,0.7,False,0.8781,0.5092,False,0.043905
31.923076923076923,0.6543589743589744,1.5777777777777777,1.4,False,0.8894,0.4359,False,0.044469999999999996
31.923076923076923,0.66,0.8,1.1666666666666665,False,0.9023,0.4103,False,0.045115
32.30769230769231,0.44000000000000006,1.8,0.7777777777777777,False,1.2286,0.5446,False,0.06143
32.30769230769231,0.4456410256410257,1.0222222222222221,1.4,False,1.3285,0.4553,False,0.066425
32.30769230769231,0.45128205128205134,1.8,1.011111111111111,False,1.0236,0.5191,False,0.05118
32.30769230769231,0.456923076923077,0.8,1.4,False,1.9346,0.4564,False,0.09673000000000001
32.30769230769231,0.46256410256410263,1.5777777777777777,1.2444444444444445,False,1.6139,0.5125,False,0.08069499999999999
32.30769230769231,0.4682051282051283,1.2444444444444445,1.011111111111111,False,0.9497,0.3542,False,0.047485
32.30769230769231,0.4738461538461539,1.0222222222222221,0.9333333333333333,False,1.2449,0.3524,False,0.062244999999999995
32.30769230769231,0.47948717948717956,1.5777777777777777,1.4,False,1.4804,0.4996,False,0.07402
32.30769230769231,0.4851282051282052,0.8,0.9333333333333333,False,1.0811,0.5146,False,0.054055
32.30769230769231,0.49076923076923085,1.3555555555555556,1.3222222222222222,False,1.0646,0.4589,False,0.05323
32.30769230769231,0.4964102564102565,0.8,0.7,False,1.137,0.4335,False,0.05685
32.30769230769231,0.5020512820512821,1.4666666666666668,1.011111111111111,False,1.1721,0.4624,False,0.058605
32.30769230769231,0.5076923076923078,0.9111111111111112,1.3222222222222222,False,0.9704,0.4561,False,0.04852
32.30769230769231,0.5133333333333334,1.2444444444444445,1.011111111111111,False,1.2127,0.5639,False,0.060634999999999994
32.30769230769231,0.5189743589743591,1.1333333333333333,0.7777777777777777,False,1.5204,0.389,False,0.07602
32.30769230769231,0.5246153846153847,1.6888888888888889,0.8555555555555555,False,1.1316,0.413,False,0.05658
32.30769230769231,0.5302564102564103,1.3555555555555556,0.8555555555555555,False,1.3306,0.5828,False,0.06653
